dateRep,day,month,year,country,count_info,cumulative_value,avg_value_quality
2020-03-09,9,3,2020,DE,3,80.83,26.943333333333335
2020-05-26,26,5,2020,ES,5,189,37.8
2020-03-23,23,3,2020,ES,3,88,29.333333333333332
2020-05-17,17,5,2020,ES,17,272,16
2020-03-10,10,3,2020,ES,3,107,35.666666666666664
2020-06-30,30,6,2020,ES,6,116.7,19.45
2020-01-29,29,1,2020,ES,3,60,20
2020-05-28,28,5,2020,ES,4,75,18.75
2020-03-03,3,3,2020,FI,1,27.9,27.9
2021-03-23,23,3,2021,FR,1,6.6,6.6
2020-03-26,26,3,2020,FR,4,23.2,5.8
2020-02-18,18,2,2020,FR,8,158.2,19.775
2021-12-29,29,12,2021,FR,3,14.6,4.8666666666666671
2021-03-03,3,3,2021,FR,1,30.6,30.6
2020-02-11,11,2,2020,FR,4,8.2,2.05
2020-01-13,13,1,2020,FR,6,143.4,23.9
2021-06-15,15,6,2021,FR,2,64.9,32.45
2021-12-09,9,12,2021,FR,2,84.4,42.199999999999996
2020-06-04,4,6,2020,FR,3,81,27
2021-09-20,20,9,2021,GB,4,41,10.25
2021-11-03,3,11,2021,GB,1,52.6,52.6
2020-08-07,7,8,2020,GB,2,17,8.5
2020-06-09,9,6,2020,GB,5,49,9.8
2020-05-25,25,5,2020,IN,5,1077.5,215.5
2020-04-28,28,4,2020,IN,10,553.7,55.370000000000005
2020-05-15,15,5,2020,IN,6,1919.09,319.8483333333333
2020-04-10,10,4,2020,IN,4,1192.3000000000002,298.07500000000005
2020-05-03,3,5,2020,IT,2,28,14
2021-12-20,20,12,2021,IT,2,99,49.5
2021-12-04,4,12,2021,IT,2,32.82,16.41
2020-03-12,12,3,2020,IT,2,48,24
2020-06-03,3,6,2020,IT,19,4420.158029,232.63989626315788
2020-05-13,13,5,2020,IT,1,9,9
2020-01-13,13,1,2020,NO,4,3109.492467,777.37311675
2020-06-10,10,6,2020,NO,52,742.247948,14.273999
2021-03-25,25,3,2021,NO,1,19.319453,19.319453
2020-02-27,27,2,2020,PL,4,34.86,8.715
2020-01-28,28,1,2020,PL,3,29.999999999999996,9.9999999999999982
2021-03-02,2,3,2021,PL,3,108.1494,36.0498
2020-03-25,25,3,2020,PT,2,32.6,16.3
2020-05-07,7,5,2020,RO,1,2.947434,2.947434
2021-07-08,8,7,2021,RO,1,10.04912924,10.04912924
2020-06-09,9,6,2020,RO,3,101.28248090000001,33.760826966666663
2020-06-10,10,6,2020,RO,2,56.2751506,28.1375753
2020-04-28,28,4,2020,RO,1,9.890721,9.890721
2021-06-01,1,6,2021,SE,1,31.386,31.386
2020-06-06,6,6,2020,SK,1,7.66253,7.66253
2020-06-10,10,6,2020,MT,3,79.17738,26.392460000000003
2021-10-06,6,10,2021,HU,1,2.0319465,2.0319465
2020-01-20,20,1,2020,BE,8,4,0.5
2020-05-14,14,5,2020,CN,18,1357,75.388888888888886
2020-01-06,6,1,2020,CN,5,1420,284
2021-08-24,24,8,2021,PE,1,12.32,12.32
2020-09-26,26,9,2020,CN,6,717,119.5
2020-01-08,8,1,2020,CN,12,2193,182.75
2020-02-06,6,2,2020,BE,4,3,0.75
2020-04-30,30,4,2020,CN,6,1003,167.16666666666666
2021-02-12,12,2,2021,BE,2,23,11.5
2020-02-29,29,2,2020,CZ,2,8.6,4.3
2020-01-15,15,1,2020,DE,2,2.66,1.33
2020-12-30,30,12,2020,DE,3,401.24,133.74666666666667
2020-11-06,6,11,2020,DE,1,3052.62,3052.62
2020-10-08,8,10,2020,ES,3,26,8.6666666666666661
2020-09-21,21,9,2020,ES,1,5,5
2021-09-25,25,9,2021,ES,1,5,5
2021-05-28,28,5,2021,ES,5,42,8.4
2020-01-23,23,1,2020,ES,2,2,1
2021-09-18,18,9,2021,ES,1,6,6
2021-03-23,23,3,2021,ES,3,71,23.666666666666664
2020-02-18,18,2,2020,ES,3,110,36.666666666666671
2020-10-23,23,10,2020,ES,1,0.1,0.1
2020-05-26,26,5,2020,FI,1,1.5089021,1.5089021
2020-05-07,7,5,2020,FR,2,9.8,4.9
2020-03-24,24,3,2020,FR,6,144.4,24.06666666666667
2020-02-19,19,2,2020,FR,3,36.1,12.033333333333333
2020-12-30,30,12,2020,FR,4,83.5,20.875
2020-05-15,15,5,2020,FR,2,0,0
2021-12-09,9,12,2021,IN,6,2501.35,416.89166666666665
2020-06-01,1,6,2020,IN,9,9804.6899999999987,1089.4099999999996
2020-01-03,3,1,2020,IN,12,936.52,78.043333333333337
2020-01-09,9,1,2020,IN,6,2505.5799999999995,417.59666666666669
2021-01-05,5,1,2021,IT,1,19,19
2021-05-31,31,5,2021,PL,2,19.398709999999998,9.6993549999999988
